time,Wykleci,AK,NSZ
2004-01,6,4,4
2004-02,10,8,0
2004-03,4,12,0
2004-04,0,13,0
2004-05,0,9,3
2004-06,0,6,6
2004-07,0,5,0
2004-08,0,3,0
2004-09,0,7,0
2004-10,3,9,0
2004-11,0,8,3
2004-12,0,4,4
2005-01,0,5,1
2005-02,0,4,2
2005-03,0,9,2
2005-04,0,10,4
2005-05,0,9,1
2005-06,0,4,1
2005-07,3,3,0
2005-08,0,6,0
2005-09,2,4,0
2005-10,0,5,0
2005-11,0,3,0
2005-12,1,5,0
2006-01,0,4,1
2006-02,1,7,0
2006-03,2,8,1
2006-04,1,5,1
2006-05,1,8,0
2006-06,1,1,1
2006-07,2,2,1
2006-08,0,2,0
2006-09,0,3,1
2006-10,0,1,0
2006-11,0,4,1
2006-12,0,1,0
2007-01,1,5,0
2007-02,0,4,1
2007-03,1,4,2
2007-04,1,5,1
2007-05,0,5,2
2007-06,1,2,1
2007-07,1,2,0
2007-08,1,2,0
2007-09,0,3,1
2007-10,1,2,1
2007-11,2,3,1
2007-12,1,1,0
2008-01,1,2,1
2008-02,1,3,1
2008-03,1,3,1
2008-04,1,4,1
2008-05,1,4,2
2008-06,0,3,1
2008-07,1,1,1
2008-08,2,1,1
2008-09,1,3,0
2008-10,1,2,1
2008-11,2,2,1
2008-12,1,2,0
2009-01,1,3,1
2009-02,2,4,1
2009-03,2,4,1
2009-04,1,3,1
2009-05,1,4,1
2009-06,1,2,1
2009-07,1,2,1
2009-08,1,2,0
2009-09,1,3,1
2009-10,2,2,1
2009-11,3,2,2
2009-12,1,2,1
2010-01,1,2,1
2010-02,1,4,1
2010-03,4,4,1
2010-04,1,4,1
2010-05,1,3,1
2010-06,2,1,1
2010-07,1,1,1
2010-08,1,2,1
2010-09,1,2,1
2010-10,1,2,1
2010-11,1,2,1
2010-12,1,1,1
2011-01,4,2,1
2011-02,9,3,2
2011-03,11,2,1
2011-04,5,3,1
2011-05,5,2,1
2011-06,3,2,1
2011-07,3,1,1
2011-08,3,1,1
2011-09,2,2,1
2011-10,3,2,1
2011-11,5,2,1
2011-12,6,2,1
2012-01,4,2,1
2012-02,13,4,1
2012-03,26,3,1
2012-04,8,2,1
2012-05,6,2,1
2012-06,5,2,1
2012-07,5,1,0
2012-08,4,2,1
2012-09,7,2,2
2012-10,5,2,1
2012-11,7,2,2
2012-12,7,2,1
2013-01,7,2,1
2013-02,26,3,1
2013-03,47,3,1
2013-04,10,3,1
2013-05,9,3,1
2013-06,9,3,1
2013-07,7,2,1
2013-08,9,2,1
2013-09,10,2,1
2013-10,10,2,1
2013-11,13,3,1
2013-12,10,2,1
2014-01,11,2,1
2014-02,30,4,1
2014-03,44,3,2
2014-04,10,2,1
2014-05,10,2,1
2014-06,9,2,1
2014-07,8,2,1
2014-08,7,2,1
2014-09,8,2,1
2014-10,8,2,1
2014-11,10,2,2
2014-12,8,2,1
2015-01,10,2,1
2015-02,41,6,1
2015-03,71,3,1
2015-04,12,2,1
2015-05,12,2,1
2015-06,9,2,1
2015-07,9,1,1
2015-08,8,2,1
2015-09,12,1,1
2015-10,10,2,1
2015-11,11,2,1
2015-12,10,2,1
2016-01,15,2,1
2016-02,71,6,2
2016-03,100,4,2
2016-04,19,3,1
2016-05,13,2,1
2016-06,9,2,1
2016-07,8,2,1
2016-08,16,2,1
2016-09,13,1,1
2016-10,14,2,1
2016-11,9,21,2
2016-12,7,20,2
2017-01,13,21,3
2017-02,54,31,4
2017-03,60,25,4
2017-04,12,22,2
2017-05,10,20,2
2017-06,7,19,2
2017-07,5,16,2
2017-08,6,20,3
2017-09,8,16,6
2017-10,13,17,3
2017-11,10,18,2
2017-12,6,14,2
2018-01,10,16,3
2018-02,38,25,7
2018-03,55,23,4
2018-04,12,19,2
2018-05,11,18,2
2018-06,8,15,3
2018-07,5,9,2
2018-08,6,15,2
2018-09,8,6,2
2018-10,9,11,2
2018-11,8,18,2
2018-12,6,16,2
2019-01,7,15,2
2019-02,31,24,2
2019-03,57,21,3
2019-04,7,11,2
2019-05,9,14,2
2019-06,5,12,2
2019-07,3,5,2
2019-08,4,9,5
2019-09,6,6,2
2019-10,4,7,2
2019-11,5,10,2
2019-12,4,7,2
2020-01,7,6,2
2020-02,30,11,2
2020-03,41,8,2
2020-04,6,8,2
2020-05,7,9,2
2020-06,5,7,1
2020-07,3,5,2
2020-08,3,7,2
2020-09,3,6,1
2020-10,4,8,1
2020-11,4,14,2
2020-12,4,10,2
2021-01,4,8,1
2021-02,22,15,1
2021-03,35,8,2
2021-04,7,6,1
2021-05,5,5,1
2021-06,4,5,1
2021-07,3,5,1
2021-08,4,6,1
2021-09,3,5,1
2021-10,3,6,1
2021-11,3,9,1
2021-12,3,7,1
2022-01,6,8,1
2022-02,23,19,2
2022-03,26,9,1
2022-04,7,6,1
2022-05,6,5,1
2022-06,4,5,1
2022-07,2,5,1
2022-08,2,7,1
2022-09,3,6,2
2022-10,3,6,2
2022-11,5,11,2
2022-12,5,9,2
2023-01,8,8,2
2023-02,24,11,2
2023-03,32,7,1
2023-04,7,6,1
2023-05,7,7,1
2023-06,4,5,1
2023-07,2,4,1
2023-08,2,5,1
2023-09,3,4,1
2023-10,3,5,1
2023-11,4,7,1
